job_title,role,industry
 Digital Media Planner,Advertising,"Advertising, PR, MR, Event Management"
 Online Bidding Executive,Retail Sales,"IT-Software, Software Services"
 Trainee Research/ Research Executive- Hi- Tech Operations,R&D,"Recruitment, Staffing"
 Technical Support,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Software Test Engineer -hyderabad,Programming & Design,"IT-Software, Software Services"
 Opening For Adobe Analytics Specialist,Programming & Design,"IT-Software, Software Services"
 Sales- Fresher-for Leading Property Consultant,Retail Sales,"Real Estate, Property"
 Opportunity For Azure Devops Architect For Hyderabad Location,Programming & Design,"IT-Software, Software Services"
 BDE- PUNE,Institutional Sales,"IT-Software, Software Services"
 Technical Support/ Product Support,Voice,"IT-Software, Software Services"
 Executive Assistant To Chairman,Corporate Planning/Consulting/Strategy,"Courier, Transportation, Freight , Warehousing"
 SEO Executive,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Workflow Coordinator,Operations,"BPO, Call Centre, ITeS"
Oracle IDAM,Programming & Design,IT-Software / Software Services
 Looking Facebook /social Media Manager For our Digital Marketing Ageny,Online/Digital Marketing,"Advertising, PR, MR, Event Management"
 Wanted Engineering Fresher For MNC Chennai,,Other
 Tooling &amp; Sampling,Engineering Design,"Industrial Products, Heavy Machinery"
 Account Manager,Accounts,"IT-Software, Software Services"
 Magento Developer,Programming & Design,"Textiles, Garments, Accessories"
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,Programming & Design,"IT-Software, Software Services"
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr,Retail/Personal Banking,Insurance
 Business Development / Corporate Sales,Retail Sales,"IT-Software, Software Services"
 Business Development Manager (BDM),Retail Sales,"IT-Software, Software Services"
 QA Executive,QA/Testing/Documentation,"Pharma, Biotech, Clinical Research"
 Back End Java Developer - Restful Services/soap,Programming & Design,"IT-Software, Software Services"
 Product Engineer,Programming & Design,"IT-Software, Software Services"
 Opening For Articulate tool Developer - Articulate / Captivate)chennai,Programming & Design,"Animation, Gaming"
 Urgent Hiring for Area Sales Manager,Retail Sales,"FMCG, Foods, Beverage"
 Software Engineer - C++ Development - Ooad/oops,Programming & Design,"IT-Software, Software Services"
 Linux Administrator Lead,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Hiring for Tech Pm/scrum Master for Hyderabad Location,Project Management,"IT-Software, Software Services"
 Assistant Professor (Grade I)-Theoretical Computer Science,,"Education, Teaching, Training"
 US Based Financial Company Looking For Java API Engineers For HYD,Programming & Design,"IT-Software, Software Services"
 Strong Partner Ecosystem,Programming & Design,"IT-Software, Software Services"
 Wordpress Web Developer,Programming & Design,"Recruitment, Staffing"
 Senior Executive- Contract Logistics- Bom WP-A,Logistics,"Courier, Transportation, Freight , Warehousing"
 Accounts Manager,Accounts,"Security, Law Enforcement"
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,Voice,"IT-Software, Software Services"
 nutanix sme ,Technical Support,"IT-Software, Software Services"
 System Architect - 3g/4g Wireless Network Architecture & Migration,Programming & Design,"IT-Software, Software Services"
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban",Programming & Design,IT-Software / Software Services
 Java Developer,,Other
 Regional Representative,Institutional Sales,"IT-Software, Software Services"
 Hiring For Record To Report,Voice,"BPO, Call Centre, ITeS"
 Product & Regional Sales Manager,Retail Sales,"Strategy, Management Consulting Firms"
 Senior Manager/associate Director - Mandarin,Senior Management,"Internet, Ecommerce"
 ODI Developer/lead ODI Developer - RACI,Programming & Design,"IT-Software, Software Services"
 UI Developer,Programming & Design,"IT-Software, Software Services"
 Assistant Manager ,Voice,"Education, Teaching, Training"
 Android Developer,Programming & Design,"IT-Software, Software Services"
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad,Voice,"BPO, Call Centre, ITeS"
 iOS Developer,Programming & Design,"IT-Software, Software Services"
 F&A Black belt - Process Excellence Lead,Back Office/Web/Transaction Processing,"BPO, Call Centre, ITeS"
 IT - Head (preferably from an NGO),,"NGO, Social Services, Regulators, Industry Associations"
 Digital Content Producer For largest Media House,Content Development,"Media, Entertainment, Internet"
 Manager Holidays,Retail Sales,"Aviation, Aerospace, Aeronautical"
 Backend Developer,Programming & Design,"Internet, Ecommerce"
 JUNIOR BIG DATA ANALYST IN,Operations,"Recruitment, Staffing"
 Chief Engineer,,"Travel , Hotels , Restaurants , Airlines , Railways"
,,
 Oracle DBA Consultant - Data Guard/rac Modules,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Global HR Operations Analyst,HR/ Recruitment / IR,"Industrial Products, Heavy Machinery"
,,
 Compiler- Support Engineer,Programming & Design,"Telcom, ISP"
 Key Accounts Manager,Advertising,"Telcom, ISP"
 Head Sales- Coworking Company,Senior Management,"Real Estate, Property"
" Clubhouse Manager, Facility Manager,",Health & Fitness,Facility Management
 IP DRG / Surgery / ED / Denials Coders,Voice,"BPO, Call Centre, ITeS"
 Sales Manager - Education Sales,Retail Sales,"Recruitment, Staffing"
 HR Associate,HR/ Recruitment / IR,"IT-Software, Software Services"
 Manager / Sr Manager - Digital Ad Sales - Ecommerce,Corporate Sales,"Internet, Ecommerce"
 Architect Junior/ Middle level,Architectural Services,"BPO, Call Centre, ITeS"
 php developer,Programming & Design,"Recruitment, Staffing"
 Openstack Engineer / Openstack Admin with Ceph Storage,Programming & Design,"IT-Software, Software Services"
 Sr. Software Engineer,Programming & Design,"Strategy, Management Consulting Firms"
 Software Engineering- Mentor,Programming & Design,"IT-Software, Software Services"
 Application Tester,Programming & Design,"IT-Software, Software Services"
 Credit Control - Manager / Asst. Manager,,"Travel , Hotels , Restaurants , Airlines , Railways"
 Night Shift - Non Voice / Web Chat - BPO,Voice,"BPO, Call Centre, ITeS"
 Sales Executive,Front Office/Customer Care,"Travel , Hotels , Restaurants , Airlines , Railways"
 Design Engineer Mechanical,Engineering Design,"Oil and Gas, Energy, Power, Infrastructure"
 Android developer,Programming & Design,"IT-Software, Software Services"
 Technical Writer,QA/Testing/Documentation,"IT-Software, Software Services"
" Pro-Engineer , Matlab ,Ansys",Engineering Design,"Recruitment, Staffing"
 Business Development Executive - Kolkata,Retail Sales,"Textiles, Garments, Accessories"
 Accountant - UK Based Accounting,Accounts,"Recruitment, Staffing"
 Opportunity For Current Account RM ||bank || Delhi,Retail Sales,"Banking, Financial Services, Broking"
 PHP Developer,Programming & Design,"IT-Software, Software Services"
 Senior Engineering Maintenance Manager For Knitting and ZLD System,Production/Manufacturing/Maintenance,"Textiles, Garments, Accessories"
 Accounting Specialist,Accounts,"IT-Software, Software Services"
 Manager (Service Operation),HR/ Recruitment / IR,"Construction, Engineering, Cement, Metals"
 DevOps Engineer Intern,Programming & Design,"IT-Software, Software Services"
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),Programming & Design,"IT-Software, Software Services"
 Java Developer,Programming & Design,"IT-Software, Software Services"
 Sr. Manager- Business Development,Corporate Sales,"Construction, Engineering, Cement, Metals"
 Test Principal Engineer,Programming & Design,"IT-Software, Software Services"
 Graphic Designer,Creative,"Architecture, Interior Design"
 Business Development Executive,Corporate Sales,"Recruitment, Staffing"
 Animation Resident,Advertising,"Advertising, PR, MR, Event Management"
Enterprise Business Development Representative,Channel Sales,IT-Software / Software Services
 Dot Net Developer,Programming & Design,"IT-Software, Software Services"
" Urgent Opening for ""US Staffing Professionals"" - Noida",HR/ Recruitment / IR,"Recruitment, Staffing"
 Front Office Executive-Noida,,"Recruitment, Staffing"
 Project Executive/coordinator,Sales Support,"Industrial Products, Heavy Machinery"
 Sterling OMS Architect,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Dot net Developer,Programming & Design,"IT-Software, Software Services"
 Centreless Grinding Operator ,Production/Manufacturing/Maintenance,"Internet, Ecommerce"
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,Programming & Design,"Recruitment, Staffing"
 Sales Lead,Retail Sales,"Internet, Ecommerce"
 Clerk - Garh Shankar (Vacancy-1),,"Government, Defence"
